company,emissions,carbon,diversity,board,governance,e,s,g,overall,grade
Energy Holdings,1,4,3,2,3,50,30,50,43,C
Solar Partners,3,2,0,0,3,50,0,30,27,D
Clean Ltd,2,0,2,2,4,20,20,60,33,D
Blue Corp,4,0,2,1,3,40,20,40,33,D
Green Ltd,1,4,4,1,2,50,40,30,40,C
Smart Fund,2,6,1,1,3,80,10,40,43,C
Eco Corp,4,2,3,1,2,60,30,30,40,C
Carbon Solutions,4,0,2,2,2,40,20,40,33,D
Carbon Holdings,1,5,5,2,7,60,50,90,67,B
Future Enterprises,4,2,1,2,0,60,10,20,30,D
Eco Solutions,3,1,2,1,2,40,20,30,30,D
Blue Holdings,4,2,5,2,2,60,50,40,50,C
Future Ltd,2,1,0,2,6,30,0,80,37,D
Carbon Holdings,6,1,1,2,1,70,10,30,37,D
Smart Systems,5,3,2,1,2,80,20,30,43,C
Green Systems,2,2,1,0,6,40,10,60,37,D
Clean Corp,4,5,2,2,3,90,20,50,53,C
Future Holdings,2,2,2,6,4,40,20,100,53,C
Eco Corp,5,3,1,2,1,80,10,30,40,C
Carbon Partners,4,3,3,3,2,70,30,50,50,C
Clean Holdings,4,4,1,2,4,80,10,60,50,C
Smart Solutions,2,2,0,4,3,40,0,70,37,D
Blue Solutions,2,1,1,1,4,30,10,50,30,D
Clean Systems,2,1,3,0,2,30,30,20,27,D
Wind Holdings,2,2,3,2,4,40,30,60,43,C
Green Corp,6,1,2,3,3,70,20,60,50,C
Solar Holdings,1,3,2,3,2,40,20,50,37,D
Green Tech,2,1,1,0,4,30,10,40,27,D
Blue Partners,7,3,3,1,5,100,30,60,63,B
Clean Partners,5,2,0,2,2,70,0,40,37,D
Wind Systems,4,1,1,3,2,50,10,50,37,D
Solar Systems,3,5,4,2,6,80,40,80,67,B
Green Corp,3,2,1,3,1,50,10,40,33,D
Eco Partners,2,1,1,2,2,30,10,40,27,D
Carbon Tech,5,2,3,1,2,70,30,30,43,C
Blue Fund,2,2,2,1,4,40,20,50,37,D
Carbon Partners,0,5,2,3,1,50,20,40,37,D
Solar Partners,3,4,1,2,3,70,10,50,43,C
Green Holdings,2,2,2,2,0,40,20,20,27,D
Blue Tech,3,5,1,2,6,80,10,80,57,C
Blue Solutions,4,2,1,1,3,60,10,40,37,D
Energy Corp,5,3,1,1,2,80,10,30,40,C
Blue Systems,5,2,0,1,3,70,0,40,37,D
Solar Fund,7,2,0,0,6,90,0,60,50,C
Future Solutions,0,1,0,3,2,10,0,50,20,D
Future Partners,3,5,5,2,3,80,50,50,60,B
Solar Tech,6,3,2,3,3,90,20,60,57,C
Future Enterprises,4,0,6,2,5,40,60,70,57,C
Solar Solutions,1,1,4,3,3,20,40,60,40,C
Clean Partners,5,1,4,1,1,60,40,20,40,C
Eco Group,2,1,4,2,1,30,40,30,33,D
Green Ltd,3,2,2,0,4,50,20,40,37,D
Energy Solutions,2,2,0,2,1,40,0,30,23,D
Wind Enterprises,6,5,3,3,3,100,30,60,63,B
Clean Solutions,2,3,1,2,2,50,10,40,33,D
Energy Tech,1,4,1,2,4,50,10,60,40,C
Energy Group,1,2,0,4,2,30,0,60,30,D
Blue Holdings,2,1,2,2,5,30,20,70,40,C
Eco Holdings,2,1,4,0,0,30,40,0,23,D
Blue Systems,3,0,1,0,2,30,10,20,20,D
Solar Systems,1,2,1,2,3,30,10,50,30,D
Blue Tech,0,3,1,4,6,30,10,100,47,C
Eco Holdings,2,4,1,1,4,60,10,50,40,C
Future Fund,2,1,2,1,8,30,20,90,47,C
Clean Tech,0,2,4,2,2,20,40,40,33,D
Eco Fund,3,2,2,0,7,50,20,70,47,C
Solar Enterprises,4,2,2,2,2,60,20,40,40,C
Blue Group,2,1,4,3,1,30,40,40,37,D
Smart Systems,3,4,1,2,1,70,10,30,37,D
Eco Group,3,3,2,3,2,60,20,50,43,C
Smart Solutions,4,1,3,2,4,50,30,60,47,C
Clean Tech,1,3,1,1,0,40,10,10,20,D
Solar Tech,3,1,4,4,5,40,40,90,57,C
Carbon Systems,6,3,2,1,7,90,20,80,63,B
Energy Enterprises,4,3,2,1,2,70,20,30,40,C
Solar Corp,3,0,1,0,3,30,10,30,23,D
Blue Fund,0,2,3,0,0,20,30,0,17,D
Blue Corp,2,1,2,3,3,30,20,60,37,D
Clean Systems,2,3,3,2,1,50,30,30,37,D
Clean Group,1,2,2,3,1,30,20,40,30,D
Blue Group,3,0,2,3,2,30,20,50,33,D
Clean Systems,5,1,2,0,6,60,20,60,47,C
Future Solutions,4,2,3,3,1,60,30,40,43,C
Solar Group,4,2,0,4,5,60,0,90,50,C
Future Fund,3,2,0,0,2,50,0,20,23,D
Smart Holdings,4,1,0,1,3,50,0,40,30,D
Solar Systems,3,4,0,3,2,70,0,50,40,C
Green Holdings,7,0,1,3,4,70,10,70,50,C
Clean Solutions,1,3,3,0,3,40,30,30,33,D
Solar Fund,5,2,1,0,1,70,10,10,30,D
Smart Enterprises,3,4,1,3,2,70,10,50,43,C
Wind Ltd,7,0,1,2,2,70,10,40,40,C
Wind Solutions,3,0,0,2,2,30,0,40,23,D
Carbon Ltd,3,5,2,3,0,80,20,30,43,C
Future Corp,1,3,3,2,3,40,30,50,40,C
Clean Systems,2,3,1,3,2,50,10,50,37,D
Smart Enterprises,5,3,0,1,2,80,0,30,37,D
Eco Solutions,5,1,3,1,2,60,30,30,40,C
Clean Solutions,4,4,1,3,0,80,10,30,40,C
Energy Partners,5,2,1,2,3,70,10,50,43,C
Green Tech,3,1,4,5,4,40,40,90,57,C
Energy Ltd,2,3,1,1,1,50,10,20,27,D
Smart Corp,1,2,2,1,1,30,20,20,23,D
Wind Group,4,0,0,1,1,40,0,20,20,D
Smart Solutions,3,1,0,1,4,40,0,50,30,D
Solar Ltd,2,0,3,1,2,20,30,30,27,D
Solar Solutions,5,0,2,3,4,50,20,70,47,C
Future Tech,4,3,4,1,2,70,40,30,47,C
Eco Group,4,2,2,3,3,60,20,60,47,C
Energy Partners,3,2,1,3,6,50,10,90,50,C
Carbon Ltd,3,1,2,0,3,40,20,30,30,D
Green Systems,2,3,0,5,4,50,0,90,47,C
Energy Corp,1,2,2,0,2,30,20,20,23,D
Wind Partners,3,4,2,6,1,70,20,70,53,C
Wind Systems,3,1,2,3,4,40,20,70,43,C
Carbon Fund,5,3,2,2,2,80,20,40,47,C
Blue Ltd,6,2,0,1,4,80,0,50,43,C
Smart Systems,6,2,1,3,6,80,10,90,60,B
Solar Systems,4,2,0,3,3,60,0,60,40,C
Wind Partners,7,4,1,2,4,100,10,60,57,C
Wind Ltd,4,0,3,2,3,40,30,50,40,C
Clean Solutions,2,3,2,2,3,50,20,50,40,C
Clean Systems,5,1,1,3,1,60,10,40,37,D
Wind Solutions,3,2,2,0,2,50,20,20,30,D
Clean Ltd,1,2,3,1,6,30,30,70,43,C
Eco Holdings,3,2,1,3,2,50,10,50,37,D
Energy Holdings,1,2,4,0,2,30,40,20,30,D
Blue Enterprises,2,1,1,0,4,30,10,40,27,D
Carbon Corp,3,1,6,1,3,40,60,40,47,C
Future Partners,2,4,1,2,4,60,10,60,43,C
Energy Group,3,1,3,1,6,40,30,70,47,C
Future Solutions,3,1,2,1,4,40,20,50,37,D
Eco Group,4,0,3,2,3,40,30,50,40,C
Solar Enterprises,1,0,1,1,2,10,10,30,17,D
Carbon Ltd,5,1,2,2,4,60,20,60,47,C
Solar Tech,2,3,3,4,6,50,30,100,60,B
Energy Group,3,2,3,2,3,50,30,50,43,C
Solar Fund,7,1,0,1,0,80,0,10,30,D
Green Fund,5,6,1,1,4,100,10,50,53,C
Solar Ltd,3,2,1,3,1,50,10,40,33,D
Green Enterprises,4,4,0,1,4,80,0,50,43,C
Clean Group,7,3,2,2,1,100,20,30,50,C
Solar Systems,3,4,1,3,3,70,10,60,47,C
Carbon Fund,4,1,0,2,2,50,0,40,30,D
Energy Ltd,2,0,1,0,3,20,10,30,20,D
Energy Holdings,0,3,1,1,7,30,10,80,40,C
Solar Ltd,3,2,4,3,1,50,40,40,43,C
Green Group,3,3,4,2,3,60,40,50,50,C
Blue Group,2,2,1,2,2,40,10,40,30,D
Future Ltd,3,0,0,3,4,30,0,70,33,D
Future Fund,6,4,2,1,6,100,20,70,63,B
Carbon Tech,4,2,3,0,2,60,30,20,37,D
Solar Fund,2,2,3,2,2,40,30,40,37,D
Smart Tech,5,4,3,2,3,90,30,50,57,C
Eco Group,2,3,2,0,3,50,20,30,33,D
Future Ltd,3,2,4,0,2,50,40,20,37,D
Future Tech,0,0,1,2,0,0,10,20,10,D
Clean Group,1,4,3,4,2,50,30,60,47,C
Blue Solutions,2,2,1,1,2,40,10,30,27,D
Wind Enterprises,1,5,2,2,0,60,20,20,33,D
Blue Group,5,2,3,2,6,70,30,80,60,B
Clean Group,3,3,2,1,0,60,20,10,30,D
Clean Corp,6,4,0,3,6,100,0,90,63,B
Wind Tech,3,1,0,2,2,40,0,40,27,D
Carbon Tech,4,3,1,1,4,70,10,50,43,C
Blue Solutions,3,1,1,2,2,40,10,40,30,D
Eco Tech,3,4,0,1,6,70,0,70,47,C
Green Solutions,1,0,1,3,5,10,10,80,33,D
Energy Tech,4,2,3,2,2,60,30,40,43,C
Smart Partners,2,1,0,3,4,30,0,70,33,D
Energy Partners,5,1,1,1,3,60,10,40,37,D
Wind Corp,3,0,4,0,0,30,40,0,23,D
Smart Solutions,1,1,4,2,3,20,40,50,37,D
Wind Holdings,1,5,3,4,4,60,30,80,57,C
Blue Partners,4,1,3,3,1,50,30,40,40,C
Smart Fund,1,4,0,2,4,50,0,60,37,D
Eco Partners,1,3,2,1,3,40,20,40,33,D
Clean Corp,1,2,0,3,2,30,0,50,27,D
Smart Tech,5,1,0,4,2,60,0,60,40,C
Clean Fund,4,3,2,1,2,70,20,30,40,C
Solar Group,3,3,2,3,4,60,20,70,50,C
Energy Corp,3,2,2,4,2,50,20,60,43,C
Smart Solutions,1,2,0,1,1,30,0,20,17,D
Eco Holdings,6,2,5,5,4,80,50,90,73,B
Smart Corp,3,3,3,3,2,60,30,50,47,C
Smart Tech,2,2,2,0,4,40,20,40,33,D
Blue Systems,6,3,0,2,1,90,0,30,40,C
Solar Enterprises,3,3,0,0,7,60,0,70,43,C
Eco Systems,2,3,5,3,1,50,50,40,47,C
Blue Tech,2,2,2,3,0,40,20,30,30,D
Solar Ltd,0,3,2,3,2,30,20,50,33,D
Eco Group,5,1,3,4,3,60,30,70,53,C
Blue Ltd,3,4,1,3,3,70,10,60,47,C
Future Group,2,3,0,2,6,50,0,80,43,C
Future Systems,3,2,1,1,0,50,10,10,23,D
Clean Fund,4,2,1,1,4,60,10,50,40,C
Carbon Ltd,6,0,3,4,2,60,30,60,50,C
Wind Group,1,1,1,4,3,20,10,70,33,D
Smart Holdings,4,1,2,2,6,50,20,80,50,C
Blue Solutions,3,0,3,0,2,30,30,20,27,D
Eco Holdings,2,2,2,1,3,40,20,40,33,D
Wind Solutions,3,5,3,4,4,80,30,80,63,B
Wind Fund,1,2,1,1,3,30,10,40,27,D
Smart Group,3,1,2,0,4,40,20,40,33,D
Blue Tech,1,3,3,1,1,40,30,20,30,D
Wind Enterprises,5,3,1,0,0,80,10,0,30,D
Future Ltd,5,1,2,0,1,60,20,10,30,D
Energy Enterprises,5,2,4,1,1,70,40,20,43,C
Clean Enterprises,0,2,1,1,2,20,10,30,20,D
Clean Fund,2,1,1,3,1,30,10,40,27,D
Clean Systems,2,0,1,3,4,20,10,70,33,D
Green Systems,2,2,4,2,1,40,40,30,37,D
Energy Corp,2,3,2,2,1,50,20,30,33,D
Energy Group,4,3,3,3,4,70,30,70,57,C
Wind Systems,2,1,1,3,2,30,10,50,30,D
Energy Ltd,6,2,1,3,3,80,10,60,50,C
Wind Ltd,4,4,2,3,4,80,20,70,57,C
Green Corp,3,3,2,3,1,60,20,40,40,C
Clean Solutions,4,2,1,0,3,60,10,30,33,D
Solar Solutions,2,1,2,2,4,30,20,60,37,D
Clean Fund,1,4,2,1,3,50,20,40,37,D
Blue Ltd,3,3,0,6,3,60,0,90,50,C
Carbon Systems,3,4,2,3,2,70,20,50,47,C
Blue Group,4,2,1,4,1,60,10,50,40,C
Carbon Enterprises,2,3,5,1,2,50,50,30,43,C
Blue Ltd,0,1,4,4,3,10,40,70,40,C
Clean Holdings,0,1,4,1,9,10,40,100,50,C
Clean Solutions,2,2,1,3,3,40,10,60,37,D
Eco Solutions,2,0,2,0,1,20,20,10,17,D
Blue Corp,3,2,4,3,1,50,40,40,43,C
Carbon Partners,2,1,4,1,1,30,40,20,30,D
Energy Solutions,4,3,0,2,3,70,0,50,40,C
Wind Holdings,0,3,3,1,2,30,30,30,30,D
Smart Systems,4,0,1,3,4,40,10,70,40,C
Smart Holdings,3,2,1,3,4,50,10,70,43,C
Eco Solutions,3,0,3,2,2,30,30,40,33,D
Clean Solutions,3,2,2,3,2,50,20,50,40,C
Blue Partners,4,3,2,4,2,70,20,60,50,C
Clean Tech,2,1,2,4,2,30,20,60,37,D
Carbon Partners,3,0,3,2,3,30,30,50,37,D
Clean Tech,3,2,4,3,3,50,40,60,50,C
Green Systems,4,3,1,1,2,70,10,30,37,D
Clean Partners,3,1,3,2,2,40,30,40,37,D
Wind Corp,2,0,5,2,2,20,50,40,37,D
Green Fund,0,4,1,1,5,40,10,60,37,D
Clean Ltd,3,1,3,2,8,40,30,100,57,C
Wind Ltd,3,2,1,0,2,50,10,20,27,D
Blue Partners,4,1,0,2,5,50,0,70,40,C
Green Holdings,4,2,1,3,2,60,10,50,40,C
Wind Corp,3,0,2,2,4,30,20,60,37,D
Eco Group,4,0,2,2,4,40,20,60,40,C
Wind Corp,4,2,2,3,2,60,20,50,43,C
Smart Tech,7,1,1,0,2,80,10,20,37,D
Future Partners,4,2,1,3,1,60,10,40,37,D
Smart Holdings,3,3,1,1,5,60,10,60,43,C
Eco Solutions,3,2,2,3,6,50,20,90,53,C
Eco Systems,4,3,1,0,5,70,10,50,43,C
Solar Fund,0,1,4,1,0,10,40,10,20,D
Smart Fund,3,4,1,2,3,70,10,50,43,C
Energy Systems,2,2,2,0,7,40,20,70,43,C
Solar Ltd,0,2,2,3,4,20,20,70,37,D
Wind Holdings,3,1,1,4,2,40,10,60,37,D
Smart Group,6,1,1,1,2,70,10,30,37,D
Clean Fund,3,3,3,2,1,60,30,30,40,C
Smart Tech,3,2,2,2,1,50,20,30,33,D
Smart Corp,0,2,3,3,3,20,30,60,37,D
Energy Solutions,4,1,2,1,5,50,20,60,43,C
Clean Corp,3,3,3,4,4,60,30,80,57,C
Future Solutions,3,2,1,3,4,50,10,70,43,C
Future Systems,4,3,3,2,4,70,30,60,53,C
Eco Partners,2,2,2,1,2,40,20,30,30,D
Green Group,6,0,4,2,1,60,40,30,43,C
Wind Fund,4,4,2,2,5,80,20,70,57,C
Wind Holdings,1,0,2,1,0,10,20,10,13,D
Green Solutions,2,2,3,2,2,40,30,40,37,D
Clean Holdings,1,1,1,3,2,20,10,50,27,D
Wind Corp,3,2,0,1,1,50,0,20,23,D
Energy Holdings,4,3,0,1,4,70,0,50,40,C
Smart Solutions,2,1,2,3,2,30,20,50,33,D
Solar Corp,4,3,4,0,2,70,40,20,43,C
Carbon Solutions,6,3,2,3,2,90,20,50,53,C
Future Holdings,3,1,3,0,4,40,30,40,37,D
Future Corp,3,2,1,3,3,50,10,60,40,C
Green Partners,3,3,1,2,3,60,10,50,40,C
Clean Fund,1,2,1,1,2,30,10,30,23,D
Smart Holdings,1,1,0,3,2,20,0,50,23,D
Wind Corp,3,4,1,2,4,70,10,60,47,C
Wind Holdings,2,3,1,2,2,50,10,40,33,D
Solar Holdings,6,1,2,0,5,70,20,50,47,C
Carbon Systems,3,5,0,3,1,80,0,40,40,C
Wind Ltd,4,3,1,0,5,70,10,50,43,C
Eco Fund,2,0,2,0,5,20,20,50,30,D
Green Group,4,4,0,4,1,80,0,50,43,C
Blue Fund,2,1,1,4,0,30,10,40,27,D
Clean Tech,2,3,2,1,2,50,20,30,33,D
Eco Solutions,3,3,1,1,3,60,10,40,37,D
Smart Fund,2,5,4,4,2,70,40,60,57,C
Green Holdings,2,0,2,1,3,20,20,40,27,D
Smart Tech,1,1,5,1,4,20,50,50,40,C
Future Ltd,7,4,0,4,4,100,0,80,60,B
Carbon Ltd,2,4,1,4,0,60,10,40,37,D
Clean Partners,4,1,1,3,3,50,10,60,40,C
Smart Group,3,3,1,1,4,60,10,50,40,C
Wind Corp,3,2,3,1,3,50,30,40,40,C
Wind Enterprises,4,3,1,0,4,70,10,40,40,C
Solar Enterprises,1,3,1,1,4,40,10,50,33,D
Blue Corp,3,2,2,1,2,50,20,30,33,D
Future Enterprises,1,3,1,0,3,40,10,30,27,D
Solar Ltd,5,4,1,1,2,90,10,30,43,C
Clean Group,5,1,4,0,0,60,40,0,33,D
Carbon Tech,3,2,1,1,1,50,10,20,27,D
Wind Corp,3,1,0,1,6,40,0,70,37,D
Blue Holdings,0,0,3,2,2,0,30,40,23,D
Blue Corp,6,2,1,1,3,80,10,40,43,C
Solar Systems,4,0,2,0,3,40,20,30,30,D
Green Systems,2,3,3,1,4,50,30,50,43,C
Wind Group,3,1,4,1,4,40,40,50,43,C
Green Solutions,0,2,2,1,4,20,20,50,30,D
Carbon Enterprises,5,2,2,5,2,70,20,70,53,C
Smart Ltd,1,1,1,2,4,20,10,60,30,D
Wind Tech,1,3,4,4,3,40,40,70,50,C
Energy Holdings,4,0,1,2,3,40,10,50,33,D
Carbon Partners,2,1,1,0,4,30,10,40,27,D
Clean Ltd,2,2,3,2,5,40,30,70,47,C
Wind Corp,3,2,1,4,7,50,10,100,53,C
Green Fund,2,3,2,4,5,50,20,90,53,C
Energy Partners,2,1,2,0,6,30,20,60,37,D
Clean Systems,1,3,0,4,3,40,0,70,37,D
Green Systems,2,3,2,1,3,50,20,40,37,D
Solar Corp,1,1,3,2,1,20,30,30,27,D
Energy Corp,1,1,2,2,3,20,20,50,30,D
Wind Corp,2,2,0,1,4,40,0,50,30,D
Future Ltd,1,1,1,2,3,20,10,50,27,D
Clean Systems,2,3,0,2,3,50,0,50,33,D
Clean Group,4,2,2,1,4,60,20,50,43,C
Wind Ltd,5,1,2,1,4,60,20,50,43,C
Energy Ltd,1,3,2,3,3,40,20,60,40,C
Carbon Partners,1,2,2,2,4,30,20,60,37,D
Solar Solutions,0,1,2,1,0,10,20,10,13,D
Smart Systems,4,2,2,0,4,60,20,40,40,C
Future Corp,7,4,4,3,3,100,40,60,67,B
Clean Group,2,1,0,1,5,30,0,60,30,D
Blue Systems,2,3,1,2,5,50,10,70,43,C
Clean Tech,2,0,5,5,2,20,50,70,47,C
